Date,Open,High,Low,Close,Volume,Change,Price-Change,Amplitude
6/9/2000,6752.5,6766,6688.399902,6694.700195,876857000,-57.79980469,-0.008559764,0.011492054
7/9/2000,6694.700195,6709.100098,6668.5,6689.200195,997218000,-5.5,-0.000821545,0.006064513
8/9/2000,6689.200195,6704.200195,6561.100098,6600.700195,924099000,-88.5,-0.013230281,0.021392707
11/9/2000,6600.700195,6604.100098,6392.100098,6582,964384000,-18.70019531,-0.002833062,0.032117805
12/9/2000,6582,6582,6528.5,6555.5,869437000,-26.5,-0.004026132,0.008128229
13/9/2000,6555.5,6559.799805,6454.100098,6478.200195,1013759000,-77.29980469,-0.011791596,0.016123821
14/9/2000,6478.200195,6580.600098,6460.700195,6555.5,1073628000,77.29980469,0.011932296,0.018508212
15/9/2000,6555.5,6559.200195,6417.299805,6417.299805,1124449000,-138.2001953,-0.021081564,0.021646006
18/9/2000,6417.299805,6464.299805,6371.399902,6410.200195,788776000,-7.099609375,-0.001106323,0.014476478
19/9/2000,6410.200195,6413.399902,6360.600098,6403.5,935475000,-6.700195313,-0.00104524,0.008236842
20/9/2000,6403.5,6425.399902,6259.700195,6279.899902,948538000,-123.6000977,-0.019301959,0.025876428
21/9/2000,6279.899902,6281.100098,6150.5,6199.200195,1400661000,-80.69970703,-0.012850477,0.020796525
22/9/2000,6199.200195,6205.899902,6075.100098,6205.899902,1176641000,6.699707031,0.001080737,0.021099465
25/9/2000,6205.899902,6310,6205.899902,6257.100098,988136000,51.20019531,0.008250245,0.016774376
26/9/2000,6257.100098,6257.600098,6192.700195,6213.200195,853537000,-43.89990234,-0.007016014,0.010372201
27/9/2000,6213.200195,6312.5,6200.700195,6269.299805,1098135000,56.09960938,0.009029101,0.017993916
28/9/2000,6269.299805,6290.600098,6210.799805,6264.100098,995853000,-5.199707031,-0.000829392,0.012728741
29/9/2000,6264.100098,6325.700195,6240.299805,6294.200195,816115000,30.10009766,0.004805175,0.013633306
2/10/2000,6294.200195,6358.200195,6284.5,6284.5,857794000,-9.700195313,-0.001541132,0.011709223
3/10/2000,6284.5,6364.600098,6284.5,6345,858136000,60.5,0.00962686,0.01274566
4/10/2000,6345,6354.200195,6283.799805,6334.899902,936017000,-10.10009766,-0.00159182,0.011095412
5/10/2000,6334.899902,6393.100098,6330.899902,6382,907715000,47.10009766,0.007435018,0.009818655
6/10/2000,6382,6412.5,6342.200195,6391.200195,998179000,9.200195313,0.001441585,0.011015325
9/10/2000,6391.200195,6391.200195,6253.600098,6264.799805,673410000,-126.4003906,-0.019777254,0.021529618
10/10/2000,6264.799805,6299.700195,6240.399902,6247.700195,1187386000,-17.09960938,-0.002729474,0.009465633
11/10/2000,6247.700195,6247.700195,6098.100098,6117.600098,1182103000,-130.1000977,-0.020823678,0.023944827
12/10/2000,6117.600098,6211.799805,6068.299805,6131.899902,972282000,14.29980469,0.002337486,0.023456911
13/10/2000,6131.899902,6209.600098,6050.700195,6209.600098,1102152000,77.70019531,0.012671472,0.025913649
16/10/2000,6209.600098,6292,6209.600098,6285.700195,957111000,76.10009766,0.012255233,0.01326976
17/10/2000,6285.700195,6290,6196.100098,6203.299805,1033527000,-82.40039063,-0.013109182,0.014938654
18/10/2000,6203.200195,6203.200195,6017.200195,6148.200195,997211000,-55.09960938,-0.008882306,0.029984042
19/10/2000,6148.200195,6246.100098,6148.200195,6218.899902,922598000,70.69970703,0.011499253,0.015923343
20/10/2000,6218.899902,6294.5,6210.299805,6276.299805,1054243000,57.39990234,0.009229913,0.013539404
23/10/2000,6276.299805,6326.700195,6271.5,6315.899902,731498000,39.60009766,0.006309466,0.008795022
24/10/2000,6315.899902,6452.799805,6299.399902,6438.399902,1113057000,122.5,0.019395494,0.024287893
25/10/2000,6438.399902,6438.399902,6330,6367.799805,963996000,-70.60009766,-0.010965473,0.016836466
26/10/2000,6367.799805,6389,6282.700195,6302.299805,868544000,-65.5,-0.010286127,0.016693333
27/10/2000,6302.299805,6407.899902,6302.299805,6366.600098,796202000,64.30029297,0.010202671,0.016755804
30/10/2000,6366.5,6394.899902,6307.899902,6388.399902,614124000,21.79980469,0.003424089,0.013665064
31/10/2000,6388.399902,6475.799805,6388.399902,6438.399902,986645000,50,0.007826686,0.013681032
1/11/2000,6438.399902,6508.600098,6396.299805,6457.600098,1095676000,19.20019531,0.002982138,0.017442267
2/11/2000,6457.600098,6485.700195,6382.700195,6392,1245662000,-65.60009766,-0.010158588,0.015950198
3/11/2000,6392,6431.700195,6382.100098,6385.399902,1232361000,-6.600097656,-0.001032556,0.007759715
6/11/2000,6385.399902,6431,6385.399902,6431,1006440000,45.60009766,0.007141306,0.007141306
7/11/2000,6431,6466.899902,6406.5,6466.899902,978289000,35.89990234,0.00558232,0.009391992
8/11/2000,6466.899902,6514.700195,6454.899902,6477.399902,945278000,10.5,0.001623653,0.009247134
9/11/2000,6477.399902,6498.5,6412.399902,6442.200195,900750000,-35.19970703,-0.005434234,0.013292386
10/11/2000,6442.200195,6442.200195,6338.5,6400.200195,910633000,-42,-0.006519512,0.016097015
13/11/2000,6400.200195,6400.200195,6269.299805,6274.799805,689530000,-125.4003906,-0.019593198,0.020452546
14/11/2000,6274.799805,6421.700195,6274.799805,6412.899902,1149117000,138.1000977,0.022008686,0.023411168
15/11/2000,6412.899902,6459.299805,6371.700195,6432.299805,928302000,19.39990234,0.003025137,0.013659906
16/11/2000,6432.299805,6480,6414.899902,6430.399902,1005376000,-1.899902344,-0.000295369,0.010120812
17/11/2000,6430.399902,6483.299805,6403.399902,6440.100098,738209000,9.700195313,0.00150849,0.01242534
